formulation,model_case,objective,n_fitted_parameters,n_fitting_points,AIC_approx,BIC_approx
Free KC,Case 1,0.0012153341600081,6,7,-48.61052452171625,-48.93506362738437
Free KC,Case 2,0.0011938664115175,7,7,-46.735278117343185,-47.11390707395599
KLZ-NPs,Case 1,0.0003758460223966,6,7,-56.82568813684536,-57.15022724251348
KLZ-NPs,Case 2,5.9070235490122e-05,7,7,-67.77885477356202,-68.15748373017482
