formulation,model_case,time_h,Donor_amount_ug_cm2,Donor_average_concentration_ug_cm3,SC_amount_ug_cm2,SC_average_concentration_ug_cm3,EP/dermis_amount_ug_cm2,EP/dermis_average_concentration_ug_cm3,Receptor_amount_ug_cm2,Receptor_average_concentration_ug_cm3,total_model_amount_ug_cm2,Donor_percent_of_total,SC_percent_of_total,EP/dermis_percent_of_total,Receptor_percent_of_total
Free KC,Case 1,24.0,452.04908272820586,994.5079820020529,0.9022131397369044,451.1065698684522,6.22390778444347,70.72622482322126,26.324227005976955,8.90973837125374,485.4994306583632,93.11011593055899,0.18583196658201126,1.2819598523531774,5.422092250505813
KLZ-NPs,Case 2,24.0,818.5846397333543,1800.8862074133795,2.70068786602953,1350.343933014765,9.41531665465092,106.99223471194229,33.12230458382028,11.210626166831481,863.822948837855,94.76301142897833,0.31264368116902924,1.0899590786882687,3.83438581116436
