,MAE_ug_cm2,MAE_ug_cm2,R2,R2,RMSE_ug_cm2,RMSE_ug_cm2
model_case,Case 1,Case 2,Case 1,Case 2,Case 1,Case 2
formulation,,,,,,
Free KC,0.7935970882926001,0.795075049621716,0.9907042442448678,0.9907454950245124,0.9265629861229528,0.9245048456272272
KLZ-NPs,0.583296236347784,0.1978414613950744,0.9970051790044078,0.9995245492448722,0.6252991966955267,0.2491467388417673
