formulation,model_case,mesh_name,n_donor,n_SC,n_EP,n_receptor,n_total_elements,n_total_nodes,Q_receptor_24h_ug_cm2,Q_SC_24h_ug_cm2,Q_EP_24h_ug_cm2,Q_total_initial_ug_cm2,Q_total_final_ug_cm2,mass_error_ug_cm2
Free KC,Case 1,Coarse,10,5,50,15,80,84,26.32422619988375,0.9022071316997329,6.223907149215546,485.4994306680032,485.49943066823147,2.28283170145005e-10
Free KC,Case 1,Base,20,10,100,30,160,164,26.32422645301083,0.902213150446222,6.223908404662308,485.4994306680032,485.49943066883736,8.341771717823576e-10
Free KC,Case 1,Fine,40,20,200,60,320,324,26.324226599121825,0.9022146537736812,6.223908635328679,485.4994306680032,485.4994306697104,1.707235242065508e-09
KLZ-NPs,Case 2,Coarse,10,5,50,15,80,84,33.12229851004812,2.7006749391213267,9.415313892553957,863.822948853949,863.8229488544038,4.547473508864641e-10
KLZ-NPs,Case 2,Base,20,10,100,30,160,164,33.122304789134496,2.700687847226026,9.41531635748247,863.822948853949,863.8229488548586,9.096083886106499e-10
KLZ-NPs,Case 2,Fine,40,20,200,60,320,324,33.122306407870084,2.700691070064896,9.415316909654427,863.822948853949,863.8229488528711,-1.0778649084386416e-09
