parameter,Free_KC,KLZ_NPs,KLZ_NPs_to_Free_KC_ratio
Q0_eff_ug_cm2,485.49943066800313,1008.8922248756191,2.078050273895224
D2_SC_cm2_h,4.158429186595018e-06,1.5611021084346234e-06,0.3754066832415815
D3_EP_cm2_h,0.0008109087333703,0.000741464654192,0.9143626448691995
P12_donor_SC,1.3070265625310953,0.8507584083496907,0.650911337794216
P34_EP_receptor,0.0029849685984736,0.0223419305662687,7.4848125965859476
K34_cm_h,0.8402178561250153,3.3347009241763303,3.9688527205974578
