layer_id,short_name,computed_amount_ug_cm2,expected_if_C_equals_1,absolute_error
1,Donor,0.45454545454545453,0.45454545454545453,0.0
2,SC,0.0020000000000000018,0.002,1.734723475976807e-18
3,EP/dermis,0.08799999999999997,0.088,2.7755575615628914e-17
4,Receptor,2.954545454545454,2.954545454545454,0.0
