formulation,model_case,objective,success,message,Q0_eff_ug_cm2,D2_SC_cm2_h,D3_EP_cm2_h,P12_donor_SC,P23_SC_EP,P34_EP_receptor,K34_cm_h
Free KC,Case 2,0.0011938664115175,True,`xtol` termination condition is satisfied.,485.9682057700823,4.160519407828155e-06,0.0008096073247278,1.313210598333468,1.000158407413454,0.0029849496025135,0.8405739683033295
KLZ-NPs,Case 2,5.9070235490122e-05,True,`xtol` termination condition is satisfied.,863.822948853949,3.961849716857862e-06,0.0006700380780281,1.0254711910182202,4.42517701807799,0.0231795156719741,3.0361698624488533
