formulation,model_case,objective,success,message,Q0_eff_ug_cm2,D2_SC_cm2_h,D3_EP_cm2_h,P12_donor_SC,P34_EP_receptor,K34_cm_h,P23_SC_EP
Free KC,Case 1,0.0012153341600081,True,`xtol` termination condition is satisfied.,485.49943066800313,4.158429186595018e-06,0.0008109087333703,1.3070265625310953,0.0029849685984736,0.8402178561250153,1.0
KLZ-NPs,Case 2,5.9070235490122e-05,True,`xtol` termination condition is satisfied.,863.822948853949,3.961849716857862e-06,0.0006700380780281,1.0254711910182202,0.0231795156719741,3.0361698624488533,4.42517701807799
