formulation,model_case,time_h,global_node_id,layer_id,layer_name,x_global_cm,concentration_ug_cm3,x_skin_cm,x_skin_um
Free KC,Case 1,0.0,0,1,Donor,0.0,1068.098747469607,-0.45454545454545453,-4545.454545454545
Free KC,Case 1,0.0,1,1,Donor,0.022727272727272728,1068.098747469607,-0.4318181818181818,-4318.181818181818
Free KC,Case 1,0.0,2,1,Donor,0.045454545454545456,1068.098747469607,-0.40909090909090906,-4090.9090909090905
Free KC,Case 1,0.0,3,1,Donor,0.06818181818181818,1068.098747469607,-0.38636363636363635,-3863.6363636363635
Free KC,Case 1,0.0,4,1,Donor,0.09090909090909091,1068.098747469607,-0.36363636363636365,-3636.3636363636365
Free KC,Case 1,0.0,5,1,Donor,0.11363636363636365,1068.098747469607,-0.3409090909090909,-3409.090909090909
Free KC,Case 1,0.0,6,1,Donor,0.13636363636363635,1068.098747469607,-0.3181818181818182,-3181.818181818182
Free KC,Case 1,0.0,7,1,Donor,0.1590909090909091,1068.098747469607,-0.2954545454545454,-2954.545454545454
Free KC,Case 1,0.0,8,1,Donor,0.18181818181818182,1068.098747469607,-0.2727272727272727,-2727.272727272727
Free KC,Case 1,0.0,9,1,Donor,0.20454545454545456,1068.098747469607,-0.24999999999999997,-2499.9999999999995
Free KC,Case 1,0.0,10,1,Donor,0.2272727272727273,1068.098747469607,-0.22727272727272724,-2272.7272727272725
Free KC,Case 1,0.0,11,1,Donor,0.25,1068.098747469607,-0.20454545454545453,-2045.4545454545453
Free KC,Case 1,0.0,12,1,Donor,0.2727272727272727,1068.098747469607,-0.18181818181818182,-1818.1818181818182
Free KC,Case 1,0.0,13,1,Donor,0.29545454545454547,1068.098747469607,-0.15909090909090906,-1590.9090909090905
Free KC,Case 1,0.0,14,1,Donor,0.3181818181818182,1068.098747469607,-0.13636363636363635,-1363.6363636363635
Free KC,Case 1,0.0,15,1,Donor,0.34090909090909094,1068.098747469607,-0.11363636363636359,-1136.3636363636358
Free KC,Case 1,0.0,16,1,Donor,0.36363636363636365,1068.098747469607,-0.09090909090909088,-909.0909090909089
Free KC,Case 1,0.0,17,1,Donor,0.38636363636363635,1068.098747469607,-0.06818181818181818,-681.8181818181818
Free KC,Case 1,0.0,18,1,Donor,0.4090909090909091,1068.098747469607,-0.045454545454545414,-454.54545454545416
Free KC,Case 1,0.0,19,1,Donor,0.4318181818181818,1068.098747469607,-0.022727272727272707,-227.27272727272708
Free KC,Case 1,0.0,20,1,Donor,0.45454545454545453,1068.098747469607,0.0,0.0
Free KC,Case 1,0.0,21,2,SC,0.45454545454545453,0.0,0.0,0.0
Free KC,Case 1,0.0,22,2,SC,0.4547454545454545,0.0,0.00019999999999997797,1.9999999999997797
Free KC,Case 1,0.0,23,2,SC,0.45494545454545454,0.0,0.00040000000000001146,4.000000000000115
Free KC,Case 1,0.0,24,2,SC,0.4551454545454545,0.0,0.0005999999999999894,5.999999999999894
Free KC,Case 1,0.0,25,2,SC,0.45534545454545455,0.0,0.0008000000000000229,8.00000000000023
Free KC,Case 1,0.0,26,2,SC,0.45554545454545453,0.0,0.0010000000000000009,10.000000000000009
Free KC,Case 1,0.0,27,2,SC,0.4557454545454545,0.0,0.0011999999999999789,11.999999999999789
Free KC,Case 1,0.0,28,2,SC,0.45594545454545454,0.0,0.0014000000000000123,14.000000000000124
Free KC,Case 1,0.0,29,2,SC,0.4561454545454545,0.0,0.0015999999999999903,15.999999999999904
Free KC,Case 1,0.0,30,2,SC,0.45634545454545455,0.0,0.0018000000000000238,18.000000000000238
Free KC,Case 1,0.0,31,2,SC,0.45654545454545453,0.0,0.0020000000000000018,20.000000000000018
Free KC,Case 1,0.0,32,3,EP/dermis,0.4565454545454546,0.0,0.0020000000000000573,20.000000000000572
Free KC,Case 1,0.0,33,3,EP/dermis,0.4574254545454546,0.0,0.002880000000000049,28.80000000000049
Free KC,Case 1,0.0,34,3,EP/dermis,0.45830545454545457,0.0,0.003760000000000041,37.60000000000041
Free KC,Case 1,0.0,35,3,EP/dermis,0.45918545454545456,0.0,0.004640000000000033,46.40000000000033
Free KC,Case 1,0.0,36,3,EP/dermis,0.4600654545454546,0.0,0.00552000000000008,55.200000000000806
Free KC,Case 1,0.0,37,3,EP/dermis,0.4609454545454546,0.0,0.006400000000000072,64.00000000000072
Free KC,Case 1,0.0,38,3,EP/dermis,0.4618254545454546,0.0,0.007280000000000064,72.80000000000064
Free KC,Case 1,0.0,39,3,EP/dermis,0.4627054545454546,0.0,0.008160000000000056,81.60000000000056
Free KC,Case 1,0.0,40,3,EP/dermis,0.4635854545454546,0.0,0.009040000000000048,90.40000000000047
Free KC,Case 1,0.0,41,3,EP/dermis,0.46446545454545457,0.0,0.00992000000000004,99.2000000000004
Free KC,Case 1,0.0,42,3,EP/dermis,0.46534545454545456,0.0,0.010800000000000032,108.00000000000031
Free KC,Case 1,0.0,43,3,EP/dermis,0.4662254545454546,0.0,0.01168000000000008,116.8000000000008
Free KC,Case 1,0.0,44,3,EP/dermis,0.4671054545454546,0.0,0.012560000000000071,125.6000000000007
Free KC,Case 1,0.0,45,3,EP/dermis,0.4679854545454546,0.0,0.013440000000000063,134.40000000000063
Free KC,Case 1,0.0,46,3,EP/dermis,0.4688654545454546,0.0,0.014320000000000055,143.20000000000056
Free KC,Case 1,0.0,47,3,EP/dermis,0.4697454545454546,0.0,0.015200000000000047,152.00000000000045
Free KC,Case 1,0.0,48,3,EP/dermis,0.47062545454545457,0.0,0.01608000000000004,160.80000000000038
Free KC,Case 1,0.0,49,3,EP/dermis,0.47150545454545456,0.0,0.01696000000000003,169.6000000000003
Free KC,Case 1,0.0,50,3,EP/dermis,0.4723854545454546,0.0,0.017840000000000078,178.40000000000077
Free KC,Case 1,0.0,51,3,EP/dermis,0.4732654545454546,0.0,0.01872000000000007,187.2000000000007
Free KC,Case 1,0.0,52,3,EP/dermis,0.4741454545454546,0.0,0.019600000000000062,196.00000000000063
Free KC,Case 1,0.0,53,3,EP/dermis,0.4750254545454546,0.0,0.020480000000000054,204.80000000000052
Free KC,Case 1,0.0,54,3,EP/dermis,0.4759054545454546,0.0,0.021360000000000046,213.60000000000045
Free KC,Case 1,0.0,55,3,EP/dermis,0.47678545454545457,0.0,0.022240000000000038,222.40000000000038
Free KC,Case 1,0.0,56,3,EP/dermis,0.4776654545454546,0.0,0.023120000000000085,231.20000000000084
Free KC,Case 1,0.0,57,3,EP/dermis,0.4785454545454546,0.0,0.024000000000000077,240.00000000000077
Free KC,Case 1,0.0,58,3,EP/dermis,0.4794254545454546,0.0,0.02488000000000007,248.8000000000007
Free KC,Case 1,0.0,59,3,EP/dermis,0.4803054545454546,0.0,0.02576000000000006,257.6000000000006
Free KC,Case 1,0.0,60,3,EP/dermis,0.4811854545454546,0.0,0.026640000000000053,266.40000000000055
Free KC,Case 1,0.0,61,3,EP/dermis,0.4820654545454546,0.0,0.027520000000000044,275.20000000000044
Free KC,Case 1,0.0,62,3,EP/dermis,0.48294545454545457,0.0,0.028400000000000036,284.00000000000034
Free KC,Case 1,0.0,63,3,EP/dermis,0.48382545454545456,0.0,0.029280000000000028,292.8000000000003
Free KC,Case 1,0.0,64,3,EP/dermis,0.4847054545454546,0.0,0.030160000000000076,301.60000000000076
Free KC,Case 1,0.0,65,3,EP/dermis,0.4855854545454546,0.0,0.031040000000000068,310.40000000000066
Free KC,Case 1,0.0,66,3,EP/dermis,0.4864654545454546,0.0,0.03192000000000006,319.2000000000006
Free KC,Case 1,0.0,67,3,EP/dermis,0.4873454545454546,0.0,0.03280000000000005,328.0000000000005
Free KC,Case 1,0.0,68,3,EP/dermis,0.4882254545454546,0.0,0.03368000000000004,336.8000000000004
