formulation,model_case,target,RMSE_ug_cm2,MAE_ug_cm2,R2,n
Free KC,Case 1,Receptor time-course,0.9265629861229527,0.7935970882926001,0.9907042442448678,5
Free KC,Case 1,SC 24 h endpoint,0.0022131397369044015,0.0022131397369044015,,1
Free KC,Case 1,EP/dermis 24 h endpoint,0.023907784443469637,0.023907784443469637,,1
KLZ-NPs,Case 1,Receptor time-course,0.6252991966955267,0.583296236347784,0.9970051790044078,5
KLZ-NPs,Case 1,SC 24 h endpoint,0.0032256242522645806,0.0032256242522645806,,1
KLZ-NPs,Case 1,EP/dermis 24 h endpoint,0.0414812002974525,0.0414812002974525,,1
