formulation,start_index,objective,success,message
Free KC,0,0.0038406416083123585,True,`xtol` termination condition is satisfied.
Free KC,1,0.004432425440852183,True,`xtol` termination condition is satisfied.
Free KC,2,0.005240013023105498,True,`xtol` termination condition is satisfied.
Free KC,3,0.0011938664115175917,True,`xtol` termination condition is satisfied.
Free KC,4,0.0018978397756993918,True,`xtol` termination condition is satisfied.
Free KC,5,0.0627961168221294,True,`xtol` termination condition is satisfied.
Free KC,6,0.0037563395486411213,True,`xtol` termination condition is satisfied.
Free KC,7,0.018353086023230235,True,`xtol` termination condition is satisfied.
Free KC,8,0.017485316576246055,True,`xtol` termination condition is satisfied.
Free KC,9,0.003345043478667892,True,`xtol` termination condition is satisfied.
Free KC,10,0.003810996117736069,True,`xtol` termination condition is satisfied.
Free KC,11,0.0015072950957320441,True,`xtol` termination condition is satisfied.
Free KC,12,0.0021201595013235607,True,`xtol` termination condition is satisfied.
Free KC,13,0.0029504300219392147,True,`xtol` termination condition is satisfied.
Free KC,14,0.2315020985178916,True,`xtol` termination condition is satisfied.
Free KC,15,0.1713218089932692,True,`xtol` termination condition is satisfied.
Free KC,16,0.004912695185890064,True,`xtol` termination condition is satisfied.
Free KC,17,1.1749234176249828,True,`xtol` termination condition is satisfied.
Free KC,18,0.010159615463242767,True,`xtol` termination condition is satisfied.
KLZ-NPs,0,0.006848941911123036,True,`xtol` termination condition is satisfied.
KLZ-NPs,1,0.0013268735946605856,True,`xtol` termination condition is satisfied.
KLZ-NPs,2,0.0007681016319096417,True,`xtol` termination condition is satisfied.
KLZ-NPs,3,0.00015070954955672758,True,`xtol` termination condition is satisfied.
KLZ-NPs,4,0.11988935705843848,True,`xtol` termination condition is satisfied.
KLZ-NPs,5,0.0033424930231361985,True,`xtol` termination condition is satisfied.
KLZ-NPs,6,0.0033277616024211913,True,`xtol` termination condition is satisfied.
KLZ-NPs,7,0.0016340428436834877,True,`xtol` termination condition is satisfied.
KLZ-NPs,8,0.002428586940973224,True,`xtol` termination condition is satisfied.
KLZ-NPs,9,0.0005162234817312122,True,`xtol` termination condition is satisfied.
KLZ-NPs,10,0.0003696715670678777,True,`xtol` termination condition is satisfied.
KLZ-NPs,11,0.0031225920869096873,True,`xtol` termination condition is satisfied.
KLZ-NPs,12,5.9070235490122e-05,True,`xtol` termination condition is satisfied.
KLZ-NPs,13,0.00048822745568452536,True,`xtol` termination condition is satisfied.
KLZ-NPs,14,0.08863235850990935,True,`xtol` termination condition is satisfied.
KLZ-NPs,15,0.1366948008616387,True,`xtol` termination condition is satisfied.
KLZ-NPs,16,0.0004315612095344692,True,`xtol` termination condition is satisfied.
KLZ-NPs,17,0.012271760389970606,True,`xtol` termination condition is satisfied.
KLZ-NPs,18,0.0014538475552164436,True,`xtol` termination condition is satisfied.
