time_h,Q1_donor_ug_cm2,Q2_SC_ug_cm2,Q3_EP_ug_cm2,Q4_receptor_ug_cm2,Q_total_ug_cm2,formulation,model_case
0.0,485.49943066800313,0.0,0.0,0.0,485.49943066800313,Free KC,Case 1
0.2,484.65800977665623,0.739619654170558,0.1018012370562855,3.753061555221619e-11,485.4994306679206,Free KC,Case 1
0.4,484.28661670381734,0.8285484754835096,0.3842599002340902,5.58828736826465e-06,485.4994306678223,Free KC,Case 1
0.6000000000000001,483.95390193399487,0.8500916728771784,0.6951137844196812,0.0003232764399846202,485.4994306677317,Free KC,Case 1
0.8,483.63065996654376,0.8602887137561287,1.0057828971203662,0.002699090229841888,485.4994306676501,Free KC,Case 1
1.0,483.3120653723944,0.8675773866162807,1.3095573372887805,0.010230571264685582,485.4994306675641,Free KC,Case 1
1.2000000000000002,482.9969070458402,0.8735982726025304,1.6030289357809189,0.025896413203507277,485.49943066742713,Free KC,Case 1
1.4000000000000001,482.6846626316662,0.8788369303103121,1.8841524080463423,0.05177869743158305,485.4994306674544,Free KC,Case 1
1.6,482.37500951837217,0.8835103340636096,2.151862456257317,0.08904835878890546,485.499430667482,Free KC,Case 1
1.8,482.0677134821853,0.8877418315832325,2.4057781413568433,0.1381972122645852,485.49943066738996,Free KC,Case 1
2.0,481.7625904863783,0.8916100242969847,2.6459607127640687,0.19926944384333456,485.4994306672827,Free KC,Case 1
2.2,481.459488543413,0.8951682789472722,2.872740431680518,0.2720334131108794,485.49943066715167,Free KC,Case 1
2.4000000000000004,481.1582775110486,0.8984545961348287,3.08660213993771,0.3560964199814845,485.4994306671027,Free KC,Case 1
2.6,480.8588428614841,0.9014972684783225,3.2881121699603564,0.4509783670452538,485.499430666968,Free KC,Case 1
2.8000000000000003,480.5610817570655,0.9043182799695184,3.477873063891537,0.5561575659692569,485.4994306668958,Free KC,Case 1
3.0,480.2649004814245,0.906935430458256,3.6564956788227363,0.6710990761345685,485.49943066684006,Free KC,Case 1
3.2,479.97021273884,0.9093636629425959,3.8245825844890726,0.7952716804656205,485.49943066673734,Free KC,Case 1
3.4000000000000004,479.6769384847619,0.911615911865277,3.9827183536007156,0.9281579164251145,485.499430666653,Free KC,Case 1
3.6,479.3850031048401,0.9137036421778995,4.131464283235133,1.0692596362953868,485.4994306665485,Free KC,Case 1
3.8000000000000003,479.0943368085693,0.9156372031253424,4.271355727880458,1.2181009269187666,485.49943066649394,Free KC,Case 1
4.0,478.8048741663509,0.9174260609673242,4.402901092149866,1.3742293469222626,485.49943066639037,Free KC,Case 1
4.2,478.516553744681,0.9190789532797904,4.526581853406176,1.537216114875795,485.49943066624274,Free KC,Case 1
4.4,478.22931780114095,0.920603998246258,4.64285312417774,1.7066557425860591,485.499430666151,Free KC,Case 1
4.6000000000000005,477.9431120228113,0.9220087732006633,4.752144554747919,1.8821653153112552,485.4994306660712,Free KC,Case 1
4.800000000000001,477.65788530133125,0.9233003700644776,4.854861450284444,2.063383544302968,485.4994306659831,Free KC,Case 1
5.0,477.3735895280279,0.9244854403603026,4.951385938007656,2.2499697594643666,485.4994306658602,Free KC,Case 1
5.2,477.0901794089488,0.9255702310522189,5.042078155956952,2.4416028697936256,485.4994306657516,Free KC,Case 1
5.4,476.8076122919465,0.9265606154063987,5.127277435773084,2.6379803225556913,485.49943066568164,Free KC,Case 1
5.6000000000000005,476.52584800909074,0.927462118251602,5.207303461383016,2.83881707693171,485.49943066565703,Free KC,Case 1
5.800000000000001,476.24484873046515,0.9282799381909735,5.282457376987252,3.0438446199464,485.4994306655898,Free KC,Case 1
6.0,475.9645788267198,0.9290189682492683,5.353022838013664,3.2528100324767673,485.4994306654595,Free KC,Case 1
6.2,475.6850047393629,0.9296838150520512,5.419267010592636,3.465475100389699,485.4994306653973,Free KC,Case 1
6.4,475.40609486265794,0.9302788154814269,5.481441499638295,3.6816154876119476,485.49943066538964,Free KC,Case 1
6.6000000000000005,475.1278194198525,0.9308080546791132,5.539783310708453,3.9010198801058444,485.49943066534587,Free KC,Case 1
6.800000000000001,474.8501503688172,0.9312753783593505,5.59451562427147,4.12348929384878,485.4994306652968,Free KC,Case 1
7.0,474.57306128679943,0.9316844096221985,5.645848686815549,4.348836281954975,485.49943066519216,Free KC,Case 1
7.2,474.29652728680793,0.9320385597243742,5.693980500508474,4.57688431800784,485.49943066504864,Free KC,Case 1
7.4,474.020524931383,0.9323410404837913,5.739097495989259,4.807467197040794,485.49943066489686,Free KC,Case 1
7.6000000000000005,473.7450321339629,0.9325948778104025,5.781375320925227,5.040428332084781,485.49943066478335,Free KC,Case 1
7.800000000000001,473.47002809523934,0.9328029206006307,5.8209793435415,5.275620305324732,485.4994306647062,Free KC,Case 1
8.0,473.19549322294796,0.9329678517063529,5.858065295374839,5.5129042946333575,485.4994306646625,Free KC,Case 1
8.200000000000001,472.9214090540309,0.9330921987317424,5.89277988994443,5.752149521913711,485.49943066462083,Free KC,Case 1
8.4,472.6477582013459,0.9331783411932189,5.925261253410206,5.99323286860822,485.49943066455756,Free KC,Case 1
8.6,472.37452428000046,0.9332285208053391,5.955639508438107,6.236038355207133,485.49943066445104,Free KC,Case 1
8.8,472.10169185171503,0.9332448490020282,5.984037222515296,6.480456741084709,485.49943066431706,Free KC,Case 1
9.0,471.82924638089764,0.933229313069263,6.010569755750122,6.72638521445831,485.49943066417535,Free KC,Case 1
9.200000000000001,471.5571741593208,0.9331837864466994,6.035345864219896,6.973726854085915,485.4994306640733,Free KC,Case 1
9.4,471.28546228591125,0.9331100315917455,6.058467857821931,7.222390488661647,485.4994306639866,Free KC,Case 1
9.600000000000001,471.014098595424,0.9330097097348232,6.080032172586011,7.472290186180821,485.4994306639257,Free KC,Case 1
9.8,470.7430716320333,0.9328843845628858,6.100129579754331,7.723345067554662,485.4994306639052,Free KC,Case 1
10.0,470.4723706003215,0.932735528910938,6.1188455779218645,7.975478956740113,485.49943066389443,Free KC,Case 1
10.200000000000001,470.2019853247346,0.9325645303625456,6.136260716455107,8.228620092294602,485.49943066384685,Free KC,Case 1
10.4,469.93190622614947,0.932372694452713,6.152450783948322,8.482700959216645,485.49943066376716,Free KC,Case 1
10.600000000000001,469.66212426371334,0.9321612526818636,6.167487271329789,8.737657875910863,485.49943066363585,Free KC,Case 1
10.8,469.3926309328247,0.931931362801957,6.181437388697873,8.993430979164549,485.4994306634891,Free KC,Case 1
11.0,469.12341820332415,0.9316841172965574,6.194364558809891,9.249963783934994,485.4994306633656,Free KC,Case 1
11.200000000000001,468.8544785223068,0.931420543009946,6.206328393509657,9.507203204424401,485.4994306632508,Free KC,Case 1
11.4,468.58580475857997,0.9311416087836286,6.21738513840502,9.765099157399591,485.4994306631682,Free KC,Case 1
11.600000000000001,468.3173902025682,0.9308482254782566,6.227587672662379,10.023604562408844,485.49943066311766,Free KC,Case 1
11.8,468.04922852121285,0.9305412521652348,6.23698586953718,10.282675020172427,485.4994306630877,Free KC,Case 1
12.0,467.7813137524772,0.9302214968819955,6.245626640292874,10.54226877340757,485.4994306630596,Free KC,Case 1
12.200000000000001,467.51364027067876,0.9298897214130338,6.253554210878377,10.802346460044705,485.49943066301483,Free KC,Case 1
12.4,467.2462027766939,0.9295466426333061,6.260810200540858,11.062871043089203,485.49943066295725,Free KC,Case 1
12.600000000000001,466.97899627338813,0.9291929358727672,6.267433817664472,11.323807635953017,485.4994306628784,Free KC,Case 1
12.8,466.7120160494611,0.9288292371435444,6.273461989045696,11.585123387132793,485.49943066278314,Free KC,Case 1
13.0,466.44525766043273,0.9284561457743771,6.2789295114268935,11.846787345046456,485.4994306626804,Free KC,Case 1
13.200000000000001,466.1787169207735,0.9280742254922363,6.283869114228271,12.108770402081278,485.4994306625753,Free KC,Case 1
13.4,465.9123898756556,0.9276840082841273,6.28831168547278,12.371045093069943,485.49943066248244,Free KC,Case 1
13.600000000000001,465.64627280534773,0.9272859937969808,6.29228623637373,12.63358562688984,485.4994306624083,Free KC,Case 1
13.8,465.38036219129253,0.9268806540210742,6.295820172218993,12.896367644823963,485.4994306623566,Free KC,Case 1
14.0,465.1146547254914,0.926468431989798,6.298939217223148,13.15936828759425,485.4994306622986,Free KC,Case 1
14.200000000000001,464.84914727736435,0.9260497463351125,6.301667679450331,13.422565959062204,485.499430662212,Free KC,Case 1
14.4,464.5838369035434,0.925624989947369,6.30402837307325,13.685940395559035,485.4994306621231,Free KC,Case 1
14.600000000000001,464.3187208173812,0.9251945341647025,6.30604286103342,13.94947244944763,485.4994306620269,Free KC,Case 1
14.8,464.05379639887855,0.9247587274093836,6.307731376209485,14.213144159436336,485.49943066193373,Free KC,Case 1
15.0,463.78906116624466,0.9243178991004971,6.309113048539306,14.47693854798627,485.49943066187075,Free KC,Case 1
15.200000000000001,463.52451278825595,0.9238723579473143,6.310205805620904,14.740839709982078,485.49943066180623,Free KC,Case 1
15.4,463.2601490532395,0.9234223962238503,6.311026621248306,15.004832591033493,485.4994306617451,Free KC,Case 1
15.600000000000001,462.9959678784689,0.9229682884730526,6.311591439965113,15.26890305477708,485.49943066168413,Free KC,Case 1
15.8,462.73196729968583,0.9225102929491645,6.311915260830877,15.533037808157216,485.499430661623,Free KC,Case 1
16.0,462.46814545365305,0.9220486540158837,6.312012276596114,15.7972242772843,485.49943066154935,Free KC,Case 1
16.2,462.20450059293114,0.9215836001184007,6.311895755961635,16.061450712456143,485.49943066146733,Free KC,Case 1
16.400000000000002,461.9410310544782,0.9211153480980115,6.311578294065234,16.32570596473022,485.4994306613716,Free KC,Case 1
16.6,461.67773527616407,0.9206441009208598,6.311071680866431,16.589979603320018,485.4994306612714,Free KC,Case 1
16.8,461.4146117782389,0.9201700502286607,6.310387048995024,16.85426178371769,485.49943066118027,Free KC,Case 1
17.0,461.15165916103183,0.9196933766561799,6.30953489203284,17.118543231386816,485.4994306611077,Free KC,Case 1
17.2,460.88887610639574,0.9192142496334805,6.308525052829279,17.38281525218434,485.4994306610428,Free KC,Case 1
17.400000000000002,460.62626136102307,0.9187328296773356,6.307366857085247,17.647069613206224,485.49943066099183,Free KC,Case 1
17.6,460.363813747486,0.9182492668549174,6.306069024971462,17.911298621625278,485.49943066093766,Free KC,Case 1
17.8,460.1015321448422,0.9177637034776474,6.304639825964549,18.175494986575934,485.49943066086036,Free KC,Case 1
18.0,459.83941549732276,0.917276272922877,6.3030870096425895,18.4396518808835,485.49943066077174,Free KC,Case 1
