time_h,Q1_donor_ug_cm2,Q2_SC_ug_cm2,Q3_EP_ug_cm2,Q4_receptor_ug_cm2,Q_total_ug_cm2,formulation,model_case
0.0,485.49943066800313,0.0,0.0,0.0,485.49943066800313,Free KC,Case 1
1.0,483.312065373448,0.8675773845844883,1.3095573376218783,0.010230571882570814,485.4994306675369,Free KC,Case 1
4.0,478.80487416662015,0.9174260609118068,4.402901088732313,1.3742293499718925,485.49943066623615,Free KC,Case 1
8.0,473.19549319488306,0.932967855435385,5.858065511991211,5.512904101403409,485.49943066371304,Free KC,Case 1
12.0,467.78131373003345,0.9302214998278494,6.24562681144663,10.542268620712047,485.49943066201996,Free KC,Case 1
24.0,452.049082708145,0.9022131422699502,6.223907931154864,26.324226875053753,485.4994306566236,Free KC,Case 1
0.0,863.8229488539494,0.0,0.0,0.0,863.8229488539494,KLZ-NPs,Case 2
1.0,859.3153542133465,2.2839937044945002,2.2157620643719556,0.007838871049927533,863.8229488532628,KLZ-NPs,Case 2
4.0,852.3267559333436,2.6386052990818847,7.138169380223493,1.7194182389354054,863.8229488515844,KLZ-NPs,Case 2
8.0,844.9179791610525,2.746135729728058,9.075921942407263,7.0829120156379215,863.8229488488257,KLZ-NPs,Case 2
12.0,838.1358476756265,2.755212911631764,9.481901814850534,13.449986443643267,863.8229488457521,KLZ-NPs,Case 2
24.0,818.5846397333543,2.70068786602953,9.415316654650919,33.12230458382028,863.822948837855,KLZ-NPs,Case 2
