formulation,model_case,objective,success,message,Q0_eff_ug_cm2,D2_SC_cm2_h,D3_EP_cm2_h,P12_donor_SC,P34_EP_receptor,K34_cm_h
Free KC,Case 1,0.0012153341600081202,True,`xtol` termination condition is satisfied.,485.49943066800313,4.158429186595018e-06,0.0008109087333703651,1.3070265625310953,0.002984968598473648,0.8402178561250153
KLZ-NPs,Case 1,0.00037584602239666655,True,`xtol` termination condition is satisfied.,1008.8922248756191,1.5611021084346234e-06,0.0007414646541920802,0.8507584083496907,0.022341930566268764,3.3347009241763303
