global_element_id,layer_id,layer_name,local_element_id,left_node,right_node,x_left_cm,x_right_cm,element_length_cm
107,3,EP/dermis,77,109,110,0.5243054545454546,0.5251854545454546,0.0008799999999999919
108,3,EP/dermis,78,110,111,0.5251854545454546,0.5260654545454546,0.0008799999999999919
109,3,EP/dermis,79,111,112,0.5260654545454546,0.5269454545454546,0.0008799999999999919
110,3,EP/dermis,80,112,113,0.5269454545454546,0.5278254545454546,0.0008799999999999919
111,3,EP/dermis,81,113,114,0.5278254545454546,0.5287054545454546,0.0008799999999999919
112,3,EP/dermis,82,114,115,0.5287054545454546,0.5295854545454546,0.0008799999999999919
113,3,EP/dermis,83,115,116,0.5295854545454546,0.5304654545454546,0.0008799999999999919
114,3,EP/dermis,84,116,117,0.5304654545454546,0.5313454545454546,0.0008799999999999919
115,3,EP/dermis,85,117,118,0.5313454545454546,0.5322254545454546,0.0008799999999999919
116,3,EP/dermis,86,118,119,0.5322254545454546,0.5331054545454545,0.0008799999999999919
117,3,EP/dermis,87,119,120,0.5331054545454545,0.5339854545454545,0.0008799999999999919
118,3,EP/dermis,88,120,121,0.5339854545454545,0.5348654545454545,0.0008799999999999919
119,3,EP/dermis,89,121,122,0.5348654545454545,0.5357454545454545,0.0008799999999999919
120,3,EP/dermis,90,122,123,0.5357454545454545,0.5366254545454546,0.0008800000000001029
121,3,EP/dermis,91,123,124,0.5366254545454546,0.5375054545454546,0.0008799999999999919
122,3,EP/dermis,92,124,125,0.5375054545454546,0.5383854545454546,0.0008799999999999919
123,3,EP/dermis,93,125,126,0.5383854545454546,0.5392654545454546,0.0008799999999999919
124,3,EP/dermis,94,126,127,0.5392654545454546,0.5401454545454546,0.0008799999999999919
125,3,EP/dermis,95,127,128,0.5401454545454546,0.5410254545454546,0.0008799999999999919
126,3,EP/dermis,96,128,129,0.5410254545454546,0.5419054545454546,0.0008799999999999919
127,3,EP/dermis,97,129,130,0.5419054545454546,0.5427854545454546,0.0008799999999999919
128,3,EP/dermis,98,130,131,0.5427854545454546,0.5436654545454546,0.0008799999999999919
