formulation,receptor_24h_ug_cm2,SC_24h_ug_cm2,EP_24h_ug_cm2,known_recovered_excluding_donor_ug_cm2
Free KC,26.81,0.9,6.2,33.91
KLZ-NPs,33.19,2.7,9.4,45.29
